time,cases,pop,dpopdt,nino,nina,beta_eff,magnitude
1985.0833333333333,358,5188724.299119069,121031.72070335325,0,-0.89,0.9626319255204884,-0
1985.1666666666667,318,5198793.157611821,120620.37249977385,0,-0.8966666666666666,0.9537203159691874,-0
1985.25,295,5208827.609431963,120205.96056136016,0,-1,0.9531517182180308,-0
1985.3333333333333,225,5218827.3992682835,119788.48488811104,0,-1.04,1.0102466292478651,-0
1985.4166666666667,298,5228792.271809578,119367.94548002536,0,-0.8933333333333332,1.0971774485242811,-0
1985.5,332,5238721.971744551,118944.34233710538,0,-0.7366666666666667,0.9560397992163984,-0
1985.5833333333333,359,5248616.192518107,118515.8306792335,0,-0.6666666666666666,1.032579235749317,-0
1985.6666666666667,439,5258474.42259957,118080.56572629206,0,-0.5833333333333334,0.9379528037099264,-0
1985.75,386,5268296.0992143005,117638.5474782834,0,-0.52,0.8641071184974198,-0
1985.8333333333333,341,5278080.659587736,117189.7759352063,0,-0.42333333333333334,0.9195132035029566,0
1985.9166666666667,284,5287827.630126004,116737.46160191816,0,-0.48,0.6497103892626483,0
1986,119,5297536.893957917,116284.81498328004,0,-0.5933333333333334,0.5886899091834431,-0
1986.0833333333333,92,5307208.423393052,115831.8360792906,0,-0.5966666666666667,0.8672544480897904,-0
1986.1666666666667,83,5316842.190740992,115378.52488994865,0,-0.48666666666666664,0.9105922548927724,0
1986.25,14,5326438.168311237,114924.88141525666,0,-0.4266666666666667,1.0493154596192245,0
1986.3333333333333,6,5335996.1827085335,114465.66028116849,0,-0.39000000000000007,1.0732531568954962,0
1986.4166666666667,28,5345515.477718289,113995.6161136379,0,-0.3166666666666667,1.0957124816314194,0
1986.5,65,5354995.151420997,113514.74891266748,0,-0.03333333333333332,0.9644596644554124,0
1986.5833333333333,227,5364434.301897232,113023.05867825594,0.24666666666666667,0,1.0526333562549683,0
1986.6666666666667,302,5373832.027227565,112520.5454104019,0.5533333333333333,0,0.9606135368487044,2
1986.75,398,5383187.708020677,112017.38012384916,0.7833333333333333,0,0.9072336784829436,2
1986.8333333333333,563,5392501.854998078,111523.73383333752,0.98,0,0.8437099219627738,2
1986.9166666666667,814,5401775.261409465,111039.6065388656,1.09,0,0.7032875585335567,2
1987,793,5411008.720504455,110564.99824043612,1.13,0,0.7363529050415702,2
1987.0833333333333,860,5420203.025532744,110099.90893804768,1.0833333333333333,0,0.9092775293415816,2
1987.1666666666667,741,5429358.308707836,109620.54132881315,0.8966666666666666,0,0.9438368959415364,2
1987.25,1083,5438472.058098396,109103.09810984948,0.7266666666666667,0,1.0133959067688134,2
1987.3333333333333,912,5447541.100736969,108547.57928115535,0.7066666666666667,0,1.0615710911598166,2
1987.4166666666667,1083,5456562.263656104,107953.9848427291,0.9433333333333334,0,1.1611244906052105,2
1987.5,1424,5465533.522495348,107363.6646492406,1.26,0,1.1116842366706927,2
1987.5833333333333,1789,5474457.447322616,106817.96855535502,1.5033333333333332,0,1.1076846562596658,2
1987.6666666666667,1476,5483337.756812903,106316.896561071,1.4866666666666666,0,0.9530730646011402,2
1987.75,899,5492178.169641126,105860.44866639124,1.32,0,0.962691613394836,2
1987.8333333333333,776,5500982.404482274,105448.62487131434,1.0833333333333333,0,0.9448391006449308,2
1987.9166666666667,771,5509752.153309043,105008.46389308236,0.97,0,0.5341687687962567,2
1988,376,5518481.001284855,104467.004448941,0.7066666666666667,0,0.8122094287490021,2
1988.0833333333333,266,5527160.506870909,103824.24653888922,0.4266666666666667,0,1.0030919501215685,0
1988.1666666666667,236,5535782.228528402,103080.19016292486,0,-0.02,1.0968736148194658,0
1988.25,242,5544337.724718462,102234.835321052,0,-0.5299999999999999,1.0641633544430784,-1
1988.3333333333333,122,5552816.672218071,101220.44138154828,0,-1.143333333333333,1.0462473630708993,-2
1988.4166666666667,100,5561201.221067357,99969.26771268946,0,-1.5766666666666669,1.072631028207662,-2
1988.5,207,5569471.639622157,98481.3143144825,0,-1.5566666666666666,1.0353745209617051,-2
1988.5833333333333,496,5577608.196238385,96756.5811869242,0,-1.3099999999999998,1.0075225201097493,-2
1988.6666666666667,334,5585591.159271947,94795.06833000896,0,-1.3633333333333333,0.9572579100307976,-2
1988.75,235,5593406.0667718025,92786.48469581934,0,-1.6499999999999997,0.8750927394703306,-2
1988.8333333333333,239,5601059.535559425,90920.5392364221,0,-1.97,0.6973560200738876,-2
1988.9166666666667,209,5608563.452149402,89197.23195181276,0,-1.9933333333333332,0.6406878773503335,-2
1989,160,5615929.703056257,87616.56284200077,0,-1.7999999999999998,0.8731236499059347,-0
1989.0833333333333,156,5623170.174794577,86178.53190698117,0,-1.55,0.9000905482467176,-0
1989.1666666666667,169,5630294.63207604,84806.75424206314,0,-1.2533333333333332,0.9734562211835144,-0
1989.25,231,5637304.352400635,83424.84494256684,0,-1.0566666666666666,1.022717333997224,-0
1989.3333333333333,306,5644198.491465496,82032.8040084887,0,-0.85,1.0611076957585317,-0
1989.4166666666667,329,5650976.204967761,80630.63143982488,0,-0.68,1.0404887314973044,-0
1989.5,410,5657637.799062042,79259.74370764729,0,-0.5633333333333334,1.0485710343412045,-0
1989.5833333333333,622,5664188.181733122,77961.55728301658,0,-0.46666666666666673,1.0038222767492746,0
1989.6666666666667,1095,5670633.411423315,76736.07216592945,0,-0.41,0.9591046641690832,0
1989.75,1139,5676979.54657488,75583.28835639266,0,-0.3833333333333333,0.8815737438402624,0
1989.8333333333333,1064,5683232.645630133,74503.20585440272,0,-0.3266666666666667,0.8435133186390986,0
1989.9166666666667,1236,5689398.28521715,73478.47934746239,0,-0.19000000000000003,0.625499824930292,0
1990,825,5695480.11470701,72491.76352308277,0.02999999999999999,0,0.8863787917618364,0
1990.0833333333333,554,5701481.301656613,71543.058381261,0.08666666666666667,0,0.9905812198076877,0
1990.1666666666667,501,5707405.013622852,70632.36392199463,0.11,0,1.0226163923065164,0
1990.25,421,5713254.418162577,69759.68014528869,0.06666666666666667,0,0.988146764457692,0
1990.3333333333333,306,5719032.929262174,68933.87851283707,0.02666666666666667,0,1.0436018756990817,0
1990.4166666666667,238,5724744.946625999,68163.83048633428,0.03,0,1.164902621049761,0
1990.5,306,5730395.116387845,67449.5360657845,0.07666666666666666,0,1.0061197292155022,0
1990.5833333333333,431,5735988.084681561,66790.99525118555,0.17666666666666667,0,1.0549402384676283,0
1990.6666666666667,553,5741528.497640991,66188.20804253587,0.21666666666666667,0,0.951690656994176,0
1990.75,241,5747020.853212902,65635.83970676738,0.17666666666666667,0,0.9117886189286428,0
1990.8333333333333,71,5752469.056595992,65128.555510806895,0.21999999999999997,0,0.8433232683034947,0
1990.9166666666667,89,5757876.864801926,64666.35545465324,0.3133333333333333,0,0.7068606903721932,0
1991,61,5763248.0348423235,64249.23953830893,0.38666666666666666,0,0.9035847651416096,0
1991.0833333333333,278,5768586.405021872,63880.134310599846,0.28,0,0.8344777085830105,0
1991.1666666666667,182,5773896.138817358,63561.96632035237,0.18000000000000002,0,1.0715466272241272,0
1991.25,150,5779181.480998535,63294.73556756823,0.16,0,1.0070829088386084,0
1991.3333333333333,108,5784446.676335205,63078.442052246486,0.3233333333333333,0,1.0275798101488849,0
1991.4166666666667,79,5789695.969597175,62913.08577438679,0.5133333333333333,0,1.1410780111838277,2
1991.5,137,5794933.580550591,62797.76660391192,0.6533333333333333,0,1.0619331731184507,2
1991.5833333333333,154,5800163.628947188,62731.58441074328,0.62,0,0.9976980395214092,2
1991.6666666666667,200,5805390.209535089,62714.539194880905,0.6533333333333333,0,0.9946747523976124,2
1991.75,243,5810617.417062376,62746.630956324865,0.8266666666666667,0,0.8915388269637999,2
1991.8333333333333,190,5815849.34627717,62827.859695075065,1.25,0,0.8229296836005353,2
1991.9166666666667,205,5821090.086880918,62958.04373071182,1.5766666666666664,0,0.9981604943504954,2
1992,125,5826343.708388305,63137.00138281431,1.7700000000000002,0,0.6195025313546064,2
1992.0833333333333,70,5831614.27526739,63364.73265138283,1.6666666666666667,0,0.8477787951085611,2
1992.1666666666667,75,5836905.851986221,63641.237536418215,1.4533333333333334,0,1.0125868132404616,2
1992.25,85,5842222.503012811,63966.516037918926,1.2066666666666668,0,0.9481991881936628,2
1992.3333333333333,60,5847568.330679308,64341.93126336296,0.94,0,0.9239548273297552,2
1992.4166666666667,43,5852947.588774248,64768.846320228855,0.6133333333333334,0,1.0338341044347774,2
1992.5,40,5858364.568950224,65247.261208514275,0.2833333333333333,0,0.9548662464356572,0
1992.5833333333333,89,5863823.562859865,65777.1759282203,0.07,0,0.9851743625237602,0
1992.6666666666667,178,5869328.862155804,66358.5904793486,0,-0.10333333333333332,0.9665397531545564,0
1992.75,256,5874884.651114248,66987.63931198855,0,-0.21333333333333335,0.7909777278195343,0
1992.8333333333333,232,5880494.684505893,67660.45687623417,0,-0.24333333333333337,0.7304284722461948,0
1992.9166666666667,268,5886162.609725059,68377.04317208749,0,-0.09666666666666668,0.7515008661099791,0
1993,147,5891892.074166013,69137.39819954461,0.13333333333333333,0,0.7225479896658579,0
1993.0833333333333,194,5897686.919543841,69948.51750631287,0.31333333333333335,0,0.8035357936205368,0
1993.1666666666667,159,5903551.764856708,70817.39664010021,0.4633333333333334,0,1.002155307750495,0
1993.25,175,5909491.423423503,71744.03560090184,0.5866666666666667,0,0.984017990755048,0
1993.3333333333333,130,5915510.708563155,72728.4343887201,0.5733333333333334,0,0.9972198257830454,0
1993.4166666666667,151,5921614.4335946,73770.59300355791,0.4533333333333333,0,1.0257260487892372,0
1993.5,162,5927807.062905353,74857.9499159982,0.23666666666666664,0,1.0758766940052302,0
1993.5833333333333,283,5934091.665157484,75977.94359663238,0.23666666666666664,0,0.941977216232626,0
1993.6666666666667,279,5940470.960081693,77130.57404546365,0.18000000000000002,0,0.9120065589375972,0
1993.75,372,5946947.6674086265,78315.84126248574,0.13666666666666666,0,0.91160107125789,0
1993.8333333333333,438,5953524.506868989,79533.74524770172,0.07333333333333333,0,0.8545143306916664,0
1993.9166666666667,434,5960205.179388763,80819.60903136394,0.08666666666666667,0,0.6120366352971268,0
1994,254,5966997.3106750185,82208.7556437142,0.10666666666666667,0,0.7777233255062495,0
1994.0833333333333,127,5973909.507630167,83701.18508475581,0.09000000000000001,0,0.9855041148200812,0
1994.1666666666667,151,5980950.377156615,85296.8973544933,0.14333333333333334,0,0.940977286135008,0
1994.25,132,5988128.526156718,86995.8924529179,0.22666666666666663,0,0.9944708338383302,0
1994.3333333333333,87,5995438.936435962,88307.66689078859,0.2966666666666667,0,0.9878136205282042,0
1994.4166666666667,138,6002822.08941214,88741.71717886011,0.29,0,1.0462984455229405,0
1994.5,153,6010204.841406062,88298.04331713005,0.36333333333333334,0,1.0532525040577716,0
1994.5833333333333,253,6017514.0487386,86976.6453056008,0.4166666666666667,0,0.967863459051746,0
1994.6666666666667,277,6024690.290243789,85271.53361841904,0.5866666666666667,0,0.9518227549495965,0
1994.75,173,6031729.0348082995,83676.71872974496,0.7799999999999999,0,0.8334538849543938,0
1994.8333333333333,147,6038639.473832026,82192.20063957383,1.0366666666666668,0,0.9088634269944348,0
1994.9166666666667,109,6045430.79871486,80817.97934790207,1.1266666666666667,0,0.7903942755832166,0
1995,123,6052112.200856642,79554.05485473719,1,0,0.7325337500079063,0
1995.0833333333333,85,6058691.86994523,78364.36552691109,0.7366666666666667,0,0.8110673523626083,0
1995.1666666666667,103,6065173.988820359,77212.8497312565,0.49,0,0.9806945175295508,0
1995.25,70,6071561.7386096725,76099.50746777978,0.21,0,1.0789257095247584,0
1995.3333333333333,58,6077858.300440871,75024.33873647764,0.01,0,1.058737145680936,0
1995.4166666666667,84,6084066.855441651,73987.34353734735,0,-0.15333333333333332,1.068756224699804,0
1995.5,82,6090190.9428859465,73001.41513667202,0,-0.32666666666666666,1.0786842249285793,0
1995.5833333333333,125,6096235.534632885,72079.44680072622,0,-0.5599999999999999,1.0876693250956266,-1
1995.6666666666667,260,6102205.960687872,71221.43852950766,0,-0.7833333333333333,0.9776860683882412,-1
1995.75,306,6108107.551056272,70427.39032302107,0,-0.94,1.06082343201365,-1
1995.8333333333333,223,6113945.635743497,69697.30218126402,0,-0.9766666666666666,1.0049897242108583,-1
1995.9166666666667,158,6119725.345370331,69023.99625786266,0,-0.97,0.7927563549381682,-1
1996,106,6125451.013019035,68400.29470644864,0,-0.89,0.9085089921535492,-0
1996.0833333333333,82,6131126.772387285,67826.19752702006,0,-0.7766666666666667,0.8658664793517037,-0
1996.1666666666667,69,6136756.757172763,67301.70471957556,0,-0.6466666666666666,1.1156027763040128,-0
1996.25,79,6142345.210682608,66830.76222613537,0,-0.48666666666666664,1.0440571955777984,0
1996.3333333333333,51,6147896.814661999,66417.31598871537,0,-0.43,0.9882027714374604,0
1996.4166666666667,73,6153416.3604656225,66061.3660073147,0,-0.42,1.123703218100251,0
1996.5,199,6158908.639448112,65762.9122819353,0,-0.3666666666666667,1.074396780855778,0
1996.5833333333333,160,6164378.442964157,65521.95481257609,0,-0.3700000000000001,1.1237443319215394,0
1996.6666666666667,232,6169830.524826451,65337.14208776171,0,-0.3700000000000001,0.9954999369949152,0
1996.75,237,6175269.488679707,65207.122596018184,0,-0.43333333333333335,1.056988289095927,0
1996.8333333333333,260,6180699.900626697,65131.89633734496,0,-0.49666666666666665,1.0319685076388738,0
1996.9166666666667,305,6186126.326770189,65111.463311742045,0,-0.5266666666666667,0.7797962567027621,-0
1997,234,6191553.333212911,65145.82351920954,0,-0.5133333333333333,0.8306331211666234,-0
1997.0833333333333,180,6196985.488627426,65235.06947237888,0,-0.3833333333333333,1.0417976838585354,0
