date,time,cases,pop,dpopdt,beta_eff,oni,roni,beta_eff_cov,season6
1980-12-07,1980.931693989071,,4.68403966072872e6,542.2185731105026,1.2049155820392203,-0.10657692,0.17512332,0.7434879020856413,0.4211483193164092
1980-12-08,1980.9344262295083,,4.684581910686313e6,542.2813432874377,1.0495802803544878,-0.10657692,0.17512332,0.7434879020856413,0.4103346388754244
1980-12-09,1980.9371584699454,,4.685124223417717e6,542.3441207309908,1.1145284914962976,-0.10657692,0.17512332,0.7434879020856413,0.3994724962292508
1980-12-10,1980.9398907103825,,4.685666598930198e6,542.4069054420028,0.8344278625994662,-0.10657692,0.17512332,0.7434879020856413,0.3885751083422872
1980-12-11,1980.9426229508197,,4.686209037231023e6,542.469697421315,0.8668528443151557,-0.10657692,0.17512332,0.7434879020856413,0.37765569217982997
1980-12-12,1980.9453551912568,,4.686751538327464e6,542.532496669769,1.029142920215124,-0.10657692,0.17512332,0.7434879020856413,0.36672746470717504
1980-12-13,1980.948087431694,,4.687294102226787e6,542.5953031882062,0.7475620803560389,-0.10657692,0.17512332,0.7434879020856413,0.3558036428896189
1980-12-14,1980.950819672131,,4.687836728936263e6,542.6581169774684,0.867727881073569,-0.10657692,0.17512332,0.7434879020856413,0.3448974436924574
1980-12-15,1980.9535519125684,,4.688379418463166e6,542.720938038397,0.9142889113544952,-0.10657692,0.17512332,0.7434879020856413,0.33402208408008355
1980-12-16,1980.9562841530055,,4.688922170814765e6,542.783766371834,1.0017437081957383,-0.10657692,0.17512332,0.7434879020856413,0.32319078101960447
1980-12-17,1980.9590163934427,,4.689464985998333e6,542.8466019786212,0.9312679005776084,-0.10657692,0.17512332,0.7434879020856413,0.3124167514754098
1980-12-18,1980.9617486338798,,4.690007864021147e6,542.9094448596007,0.9074554111553392,-0.10657692,0.17512332,0.7434879020856413,0.30171321241279586
